,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,284355.955955956,2.4,1.0742385770772371,4.65805183951865,0.3194432527424504,0.31430567305030815,77.85750051254772,19.622729234565554,580.0,0.8000000000000002
1,1,306288.6886886887,2.4,1.0606720391407278,4.59901551523776,0.3516441893844385,0.3980226171317569,70.89186694727353,13.099399877008889,592.0,0.8000000000000002
2,2,330049.1491491492,2.4,1.047764961032459,4.543080634388476,0.394654294059228,0.49554847552887643,62.089659834669064,7.6930833778835295,604.0,0.8000000000000002
3,3,355637.3373373373,2.4,1.0354189288657174,4.48570170779529,0.4584567413258211,0.600027036198022,51.722398520920656,3.153033064759497,616.0,0.8000000000000002
4,4,383053.2532532533,2.377477477477478,1.0246648195869184,4.192910110998352,0.5064422998873713,0.6949750450625176,41.414173892381584,0.00774546608387365,628.0,0.8000000000000002
5,5,414124.6246246246,2.2973519163763068,1.0219400026627201,3.506883226934671,0.4645395899016964,0.757385517335525,34.25862363957718,0.4874817875634718,640.0,0.8000000000000002
