,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,139965.46546546547,2.4634634634634636,1.0282599656169387,3.5328552825739585,0.3422373353407305,0.6575279995130693,44.70621977768622,-0.0029170406758331556,565.0,0.9000000000000002
1,1,152759.55955955957,2.275175175175175,1.012846078735155,2.6617851174799743,0.44949495705397763,0.8494070378473965,21.926879818516348,-0.016859440072571813,580.0,0.9000000000000002
2,2,165553.65365365366,2.2707707707707705,1.0125761097198487,2.640436306965026,0.44841837633084985,0.873718904246305,18.643136286787154,-0.022589698458340364,595.0,0.9000000000000002
3,3,180175.47547547548,2.2663663663663667,1.0124687711391887,2.6219529567151314,0.4475892243195829,0.8758359790065116,18.35628843700003,0.02185567730749134,610.0,0.9000000000000002
4,4,196625.025025025,2.263063063063063,1.0120973124033548,2.608788035971125,0.44661161713401243,0.8777997254461883,18.089543918656766,-0.06465234042773925,625.0,0.9000000000000002
5,5,214902.30230230236,2.258658658658659,1.012037256550088,2.592680257135533,0.4458922628349613,0.8795413228249997,17.854666655157303,-0.02626581018726442,640.0,0.9000000000000002
