,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,492716.91691691696,2.1,1.0789771827707135,4.786755093946024,0.39751884421509515,0.4691466363602451,67.02069136082766,21.059364113163763,602.5,0.65
1,1,536582.3823823824,2.1,1.0667862833451647,5.360212846903067,0.20131535108807896,0.5336555104120162,61.31607673348945,12.561336466190618,610.0,0.65
2,2,567653.7537537538,2.1,1.0579547883881109,5.128716352015986,0.20170861893501726,0.5876056875857477,55.94016000088789,8.684853746267988,617.5,0.65
3,3,600552.8528528529,2.1,1.0497215207888815,4.896952464508668,0.20441321310755187,0.6395673771312713,50.409458680231225,5.3653409527033835,625.0,0.65
4,4,635279.6796796797,2.1,1.0421830909710614,4.664587542385861,0.20956358220965352,0.6878866506201838,44.92482828456873,2.5853931832599244,632.5,0.65
5,5,671834.2342342343,2.1,1.0353924328422353,4.433966488250302,0.21692073620883703,0.7313179221300556,39.68785694807014,0.306326489389556,640.0,0.65
