,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,432401.90190190193,2.2,1.0841295215502313,5.075527538980182,0.47155132474383193,0.4070713131954101,71.59349588653122,23.870638144609213,595.0,0.7000000000000001
1,1,461645.5455455456,2.2,1.0750303761044908,4.969354568892485,0.4411503407119704,0.46739687951324244,66.37094846710485,19.05631993450749,604.0,0.7000000000000001
2,2,490889.1891891892,2.2,1.0659562684974813,4.792783893220669,0.4104242706827614,0.5299617077143912,60.52780541686549,14.584920110532195,613.0,0.7000000000000001
3,3,521960.5605605606,2.2,1.05736936908343,4.619743186846394,0.3875729521379434,0.5921690806476342,54.30162039526329,10.710884605769609,622.0,0.7000000000000001
4,4,556687.3873873875,2.2,1.0492297615147723,4.481868903126474,0.36369557136149605,0.6517620319822702,47.925453143006834,7.226373786188075,631.0,0.7000000000000001
5,5,593241.941941942,2.2,1.0414806384863249,4.330314436788012,0.347079366681822,0.7055880747193185,41.76342323333681,4.19891568247186,640.0,0.7000000000000001
