,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,1049452.4425521474,1.905805805805806,1.0435995630720467,3.806132097616306,0.24173924613830253,0.7803162037165045,35.239300962489416,0.03751686029011546,580.0,0.6000000000000001
1,1,1200626.4579853213,1.8707707707707708,1.0361799466282735,3.1483948269489734,0.30213919595555877,0.8428431643201626,26.39724618525842,-0.03050648285956852,596.0,0.6000000000000001
2,2,1377423.1878986938,1.8367367367367367,1.030639405346522,2.6866884348219937,0.3415380720546582,0.8840655350855197,20.024823039024646,-0.023601747973384175,612.0,0.6000000000000001
3,3,1590091.7180843449,1.8037037037037038,1.0264028642781544,2.3506515883763535,0.36677883154740426,0.9125391779496042,15.345912293165151,0.000297182420913706,628.0,0.6000000000000001
4,4,1851443.4057823736,1.7716716716716718,1.0229086706855863,2.089980182302235,0.38418854273697317,0.933758363254579,11.700016674933133,0.00032478133770492805,644.0,0.6000000000000001
5,5,2181976.42257694,1.7386386386386388,1.0199188808097954,1.8702777638187986,0.3992597749969158,0.9507510266901729,8.681791783903437,0.021688818766591362,660.0,0.6000000000000001
