,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,744542.1402377803,2.2750750750750752,1.060141897902922,6.428749456653249,0.16853184370927266,0.6061035157405149,52.740897650750604,0.06361720067466602,560.0,0.7000000000000002
1,1,880342.5269828346,2.204804804804805,1.0465287968801114,4.64255332973469,0.28906153925348516,0.7267171811011833,39.35939353381781,0.025346489641828434,582.0,0.7000000000000002
2,2,1044327.8996561076,2.1267267267267265,1.036937744411283,3.5772409565851926,0.35113944738348063,0.8068088247078992,29.355257415305925,-0.011069205119523393,604.0,0.7000000000000002
3,3,1241622.8011536396,2.062962962962963,1.0309259024261757,2.977083971969511,0.3784398376556766,0.8562319746969126,22.602144379254867,0.007386876391008492,626.0,0.7000000000000002
4,4,1485038.5887155293,2.012212212212212,1.0267500288651452,2.5941412680673013,0.3909709761965858,0.8889858610667579,17.828376569696545,-0.014354237492641078,648.0,0.7000000000000002
5,5,1797635.705373956,1.9653653653653655,1.023631822013767,2.3013816681724975,0.3982957138418129,0.913452344555537,14.09073435926371,-0.001617869230970579,670.0,0.7000000000000002
