,Index,pressure,temperature,mach,Ye,Y
0,0,182579.2064335729,487.57480726662084,1.561341484055316,17.71294239007917,16.62088747428213
1,1,205025.0733713863,488.0376167213698,1.5596711502274967,17.817144735629242,16.58310217111006
2,2,227470.94030919977,488.19488207007095,1.5575348811740226,17.596755485838656,16.57688451378961
3,3,249916.8072470132,488.711611072946,1.5573898258679224,17.787965159407527,16.659274678732004
4,4,272362.6741848265,489.09803450118307,1.555359051582521,17.90628225037294,16.62537073230253
5,5,294808.54112264,489.70013612192446,1.55371509144672,17.72646461827498,16.59134122542844
6,6,317254.4080604534,490.0371332977126,1.5526674697915526,17.81876230769141,16.56048570093713
7,7,339700.27499826683,490.41656715489626,1.5514701878999326,17.568891975366363,16.530768255410738
8,8,361465.9641500859,490.8833706502472,1.5486985954440915,17.940922615408443,16.498954938345005
9,9,383571.7421949021,491.19640358242367,1.5413853904282115,18.29380446389996,16.134017133141022
10,10,412025.8462423324,491.8444366700873,1.546773158940501,18.126675949475437,16.580741160078873
11,11,434840.1428142259,492.06754128183593,1.5445627923713563,18.243283515932603,16.559578286808346
12,12,458051.209761283,492.46912958298344,1.542110666958712,18.283136002683094,16.428102862285552
13,13,481177.2544850908,492.72312560251265,1.5426425364144123,18.22572340015053,16.634327160632115
14,14,505857.99129117135,493.4841329814881,1.5407407001788778,18.30318756834372,16.617931730302015
15,15,528303.8582289848,493.7665687097676,1.5403216515168108,18.505245653077694,16.60038115622069
16,16,550130.2775402677,494.04459137979285,1.5384842843062096,18.567868235063948,16.581939502883415
17,17,576402.1445242992,494.4373535644316,1.537638128353959,18.5681767206895,16.69215437930138
18,18,600888.5448200956,495.1081384190955,1.5364535100208083,18.63480961580788,16.681249745748534
19,19,623334.4117579091,495.0728339530606,1.5364535100208083,18.710388594067155,16.7844914331322
20,20,647820.8120537056,495.4964875454799,1.5338425145110064,18.512443651007143,16.781232888065606
21,21,672307.212349502,495.9907500699692,1.5339392180484066,18.710388594067155,16.88548341545731
22,22,696793.6126452985,496.4144036623885,1.531908443763005,18.793165570255884,16.885093268474012
23,23,725361.0796570609,496.732143856703,1.531328222538605,18.667200606490425,17.015452892256693
24,24,749847.4799528575,497.0498840510175,1.5281370058044026,18.578665231958134,16.915892362189954
25,25,776374.4136066369,497.5441465755067,1.5271699704304018,18.616300478274997,16.898620023885474
26,26,802901.3472604165,498.2149314301707,1.5249457890702005,18.55522032441648,16.909712373866746
27,27,831468.814272179,498.35614929431046,1.5226249041725988,18.55522032441648,16.94964645493394
28,28,860036.2812839414,498.88571628483464,1.5209809440367976,18.505245653077694,16.980522503181277
29,29,886563.2149377209,499.5211966734636,1.5176930237651955,18.570027634442788,16.898428324077567
30,30,915130.6819494836,500.05076366398777,1.5163391742415946,18.598819626160605,16.902308076629737
31,31,943698.148961246,500.1919815281276,1.5120842185959915,18.486736515544813,16.85805945038154
32,32,972265.6159730086,500.6509395865818,1.5089897053991894,18.47902437490611,16.774303762505184
33,33,1003893.8830217456,501.4276378393506,1.5039611214543862,18.37568169034751,16.604618511782025
34,34,1029400.5499965335,501.8865958978049,1.5014468294819845,18.3294088465153,16.640998192548338
35,35,1060008.5503662792,502.16903162608446,1.4982556127477822,18.39110597162491,16.593412159895767
36,36,1086535.4840200583,502.94572987885323,1.4944841747891795,18.472854662395147,16.535838350199036
37,37,1115102.9510318213,503.43999240334244,1.4927435111159784,18.39110597162491,16.56553670617946
38,38,1142650.151364592,503.89895046179674,1.4903259226809769,18.34329069966496,16.505032634573418
39,39,1174278.4184133292,504.19315434542125,1.4883918519329755,18.148944755569687,16.609960626392795
40,40,1199785.0853881172,504.59915570482315,1.4865061329536742,18.73558158682025,16.63642847450547
