,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,G1
0,0,387800.0,2.2831831831831835,1.0360853031943025,2.6543237837956504,0.4505158127322951,0.8691225641788505,19.227679646530053,-0.02820925476689346,465.0,0.9000000000000002
1,1,454829.5591182365,2.2771771771771774,1.0349353337512328,2.6344632386319553,0.4491181238245852,0.8719895519582785,18.846848463224482,-0.0252663109347776,486.0,0.9000000000000002
2,2,536430.7615230461,2.2699699699699702,1.034276979946379,2.615991647904261,0.44786796527764494,0.8742244111384166,18.55744386491297,0.02214454112802311,507.0,0.9000000000000002
3,3,635517.9358717435,2.262762762762763,1.0334988569460033,2.600617429342086,0.446166648538366,0.8766942351697382,18.237522014200266,-0.019735954940841786,528.0,0.9000000000000002
4,4,757919.7394789578,2.251951951951952,1.0332391558235596,2.576172009160366,0.44469068725177446,0.8792930725723567,17.90561438695472,0.03569274230712894,549.0,0.9000000000000002
5,5,915293.4869739478,2.2399399399399402,1.0327036006111237,2.5520078362638463,0.44266659016812054,0.8825693527755394,17.483437645933734,-0.01821625911101365,570.0,0.9000000000000002
