,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,G1
0,0,536430.7615230461,2.3104104104104106,1.0438245209732873,3.016901838532872,0.45764662051480326,0.815378627832778,26.527129016419597,-0.016577410576753642,472.5,0.8500000000000002
1,1,626774.9498997997,2.293893893893894,1.0423987122738456,2.9553061626776307,0.4526700805138641,0.8329476090257099,24.281551923918006,0.019426328011957948,491.0,0.8500000000000002
2,2,734605.1102204409,2.2773773773773773,1.0410577808157326,2.9004795849568543,0.44785458976180154,0.8439367481706721,22.870556616275678,-0.021948906603139636,509.5,0.8500000000000002
3,3,865749.8997995992,2.263063063063063,1.0391665272501553,2.860940328345769,0.4422516829206395,0.8538887410634891,21.578531653021134,-0.30226469993351623,528.0,0.8500000000000002
4,4,1037695.2905811624,2.2322322322322323,1.0395052398436824,2.768459059127855,0.4397440124468517,0.8614398503101247,20.633018992510976,0.02162006073267794,546.5,0.8500000000000002
5,5,1276670.240480962,2.2003003003003,1.0391018245505712,2.6915646330470175,0.4359614906069014,0.8704968019912718,19.48164341800759,0.026186916988341833,565.0,0.8500000000000002
