,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,G1
0,0,685061.5230460921,2.360860860860861,1.057279260120025,3.708191997869241,0.4609056444932013,0.7332406743674617,36.87812565170043,0.010427868608119248,480.0,0.8000000000000002
1,1,792891.6833667335,2.316816816816817,1.0524768706826648,3.450953218758698,0.4523127453796958,0.7818446188279619,31.086389916330333,-0.002503697932080697,496.0,0.8000000000000002
2,2,918207.8156312624,2.277777777777778,1.0494638250856385,3.2518069412498507,0.44099152539456465,0.8113859394582166,27.434286088500855,-0.010192702203214027,512.0,0.8000000000000002
3,3,1078495.8917835671,2.2377377377377377,1.047399968982647,3.089436273411417,0.43293670982324556,0.8317831219419703,24.87915111464978,-0.002917500003189701,528.0,0.8000000000000002
4,4,1288327.5551102203,2.1926926926926926,1.0456753876706784,2.933261524591168,0.426759826777164,0.8497305201891198,22.602675596879067,-0.00835591955833291,544.0,0.8000000000000002
5,5,1620561.0220440882,2.1256256256256254,1.0443522938904046,2.7510930837072998,0.4189156408526948,0.8700874006299478,20.012220302681826,-0.006725200224520149,560.0,0.8000000000000002
