,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,G1
0,0,1168840.0801603207,2.195795795795796,1.0713111294725883,4.177734136042708,0.3416357568808619,0.7533712357180112,35.97476253851764,0.015968430748402488,502.5,0.65
1,1,1285413.2264529057,2.1390390390390395,1.0653955450811394,3.746695076201172,0.3542196908296493,0.7878902946115353,31.837196361033804,0.007867601325170033,511.0,0.65
2,2,1425301.002004008,2.076676676676677,1.0602294536406334,3.3807703754882747,0.36198597933929516,0.8194788127344191,27.91829031816536,0.008780683820554714,519.5,0.65
3,3,1603075.0501002003,2.001001001001001,1.055184947987377,3.038473287039177,0.36551422685463414,0.8508812636753078,23.89043430018764,-0.018007643314000597,528.0,0.65
4,4,1842050.0,1.8979979979979982,1.0494271086983646,2.663156016359908,0.368235500495109,0.8853081417062033,19.269339089223408,-0.008707692884105394,536.5,0.65
5,5,1842050.0,1.9736736736736737,1.048300157242215,2.692813257776814,0.3839606620410545,0.8810206699215815,19.369551154188976,-0.010716787026185129,545.0,0.65
