,Index,Zt,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y
0,0,0.7,2.2601601601601606,1.0318406760780758,2.524142666302485,0.447023320256559,0.8839284591582,17.178588044586405
1,1,0.72,2.26016016016016,1.0310848196865499,2.4970422814310744,0.4470357225508401,0.8866199981904607,16.78024026781182
2,2,0.74,2.26016016016016,1.0303052544176734,2.472045992028894,0.44700746084719317,0.8891849306428159,16.400630264863246
3,3,0.76,2.265865865865866,1.0293339755617228,2.454901104506712,0.4462840735011692,0.8910038484797402,16.109950491010423
4,4,0.78,2.2658658658658664,1.0284486274862121,2.4320181078105843,0.44617740830675406,0.8934799074578343,15.743981720613027
5,5,0.8,2.263963963963964,1.02818228181249,2.405624434440524,0.4465501571391622,0.8956246781467659,15.426978329838855
6,6,0.8200000000000001,2.263963963963964,1.0271886878856544,2.3847925045626424,0.4463688433776489,0.8980227867038352,15.072530860019032
7,7,0.8400000000000001,2.262062062062062,1.026807890767389,2.359517323552488,0.44667451422017407,0.9002164401978959,14.748302447448133
8,8,0.8600000000000001,2.2601601601601597,1.0264304530726496,2.3358443613530393,0.4469623260381841,0.9023104535638927,14.438801137693613
9,9,0.8800000000000001,2.265865865865866,1.025224763545888,2.3244694848461793,0.4460756223448655,0.9037582859808301,14.205891298042369
10,10,0.9000000000000001,2.263963963963964,1.0247699606750449,2.3024703247114044,0.4463201056540335,0.9057778627913337,13.907788869896226
11,11,0.9200000000000002,2.2620620620620624,1.0243103336520611,2.2817669838893617,0.44655432741419293,0.907708286735075,13.622845973945047
12,12,0.9400000000000002,2.265865865865866,1.0237909741079487,2.267346112117327,0.44618455861763184,0.908877093649878,13.43246029862356
