,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,835575.0750750751,2.416466466466466,1.0866155317336448,5.74832152878439,0.3412810146423111,0.6536172486134734,46.419662473935006,-0.007381026656413493,479.99999999999994,0.7500000000000002
1,1,981922.022022022,2.3032532532532533,1.065447723456777,4.077536482596303,0.40304699058721916,0.7505605758553978,35.4342724595429,0.0033951762687723696,500.24999999999994,0.7500000000000002
2,2,1145155.155155155,2.229229229229229,1.054355112332426,3.3784484407738846,0.4156590759058478,0.809811128395025,28.05431029864383,-0.028952665922384362,520.5,0.7500000000000002
3,3,1342160.6606606608,2.176976976976977,1.0480305584938638,3.0003824057339656,0.41967469705710586,0.8453341757713538,23.357965647524594,-0.015635867008935277,540.75,0.7500000000000002
4,4,1578567.2672672677,2.1377877877877873,1.0438312085812944,2.746682123841361,0.4223113769830093,0.8692915067022667,20.047954919235345,0.030761628564869005,561.0,0.7500000000000002
5,5,1860003.703703704,2.11021021021021,1.040462421840126,2.5622942864399385,0.4226588135873394,0.8873283997801308,17.45763276380714,-0.002236387847120145,581.25,0.7500000000000002
