,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,1246472.2722722725,2.1015015015015015,1.073739225110498,4.1506814632333136,0.29898829466752574,0.7557121194494344,36.504861061409486,0.00859609779133705,500.0,0.6500000000000001
1,1,1398447.947947948,2.0589089089089088,1.0635044941256042,3.5199529296560317,0.34266221388666024,0.8082564804496094,29.68929474775147,0.008059923643302283,513.75,0.6500000000000001
2,2,1572938.5385385386,2.01976976976977,1.0556898513752888,3.085431928385674,0.3675392124107297,0.8463217934997542,24.42688708691599,-0.012713953025493059,527.5,0.6500000000000001
3,3,1769944.044044044,1.9886886886886888,1.0498039125469614,2.7772114164323267,0.38218706415044634,0.8734627520322576,20.463397371716948,-0.01060587236136279,541.25,0.6500000000000001
4,4,2000721.921921922,1.961061061061061,1.045172547912363,2.5398116216437416,0.39010822644760007,0.8940204532168695,17.344148978521503,0.003163663740298104,555.0,0.6500000000000001
5,5,2265272.172172172,1.938038038038038,1.041392726325064,2.349069924327395,0.3944532352467461,0.9098738695132127,14.851708728643128,0.027199703485389668,568.75,0.6500000000000001
