,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,469707.7077077077,2.3472472472472474,1.0516524281469324,3.1465551516042605,0.4241714026510918,0.8020275544603147,28.121397094958418,0.010354383197439617,459.99999999999994,0.8500000000000003
1,1,576653.5535535535,2.2929429429429433,1.0407678394958202,2.8895822337041777,0.4523643721292181,0.8414185000421549,23.111002687373354,-0.03212934929836378,486.74999999999994,0.8500000000000003
2,2,706114.3143143144,2.271921921921922,1.0386194813568803,2.7989293367882784,0.44720141608396863,0.8554392477009815,21.267995621171817,-0.025682135671614634,513.5,0.8500000000000003
3,3,852461.2612612613,2.250900900900901,1.0365438671684986,2.7003300691701715,0.44339268466959414,0.8674997816046394,19.647221992608394,-0.028950776642853563,540.25,0.8500000000000003
4,4,1032580.5805805806,2.22987987987988,1.034981343529644,2.6074727913972753,0.44109181494164734,0.8773479426466265,18.306193995382046,0.004226890084420238,567.0,0.8500000000000003
5,5,1257729.7297297297,2.2106106106106105,1.0334805175911574,2.5226631700985247,0.43963548633796473,0.8862607734552393,17.07198594442523,-0.015405402410775187,593.75,0.8500000000000003
