,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,1032580.5805805806,2.2698698698698703,1.0823719796846414,5.042975060610349,0.3041144306415631,0.6942228902906488,42.774518661026676,-0.011568292806557311,490.0,0.7000000000000002
1,1,1184556.2562562565,2.1995995995995994,1.0672505440918199,3.962592906249963,0.3614061094077597,0.7692462096949008,33.849427648671615,-0.013348601156779003,507.0,0.7000000000000002
2,2,1364675.5755755757,2.1371371371371373,1.057337173202016,3.334989561485546,0.38718155427857753,0.8201803977505852,27.309711885893073,0.02650173600526913,524.0,0.7000000000000002
3,3,1567309.8098098098,2.094194194194194,1.0504379565971942,2.9578305476903486,0.3993470064794607,0.8544125910480076,22.61269017318205,-0.023891895378105838,541.0,0.7000000000000002
4,4,1803716.4164164164,2.06036036036036,1.0456344135963223,2.6894236222739405,0.40613274008994077,0.8782658687991498,19.18435926127125,0.017720871253797583,558.0,0.7000000000000002
5,5,2085152.852852853,2.0343343343343343,1.041700824941713,2.4891024786525118,0.4075080837684712,0.8965723818754318,16.456077146677632,-0.02595824254981458,575.0,0.7000000000000002
