,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,1724914.2142142144,1.7721721721721724,1.0524633946104782,2.7003559921128595,0.3378919682739701,0.884858071841928,20.55064498009205,-0.001194025293564195,520.0,0.55
1,1,1848746.2462462464,1.7602602602602604,1.0485457080397964,2.5186737340920358,0.35327948695243266,0.9007236045137169,17.87167500608854,0.014692411551994546,527.25,0.55
2,2,1978207.007007007,1.7560060060060059,1.0452364850260543,2.380245457489429,0.36355634651586516,0.9125545247817156,15.77157931288908,-0.01576924828550135,534.5,0.55
3,3,2124553.9539539544,1.7474974974974975,1.0421901933251614,2.24844397432742,0.3719310174530515,0.9231044396501961,13.891030250068557,-0.009385466288316914,541.75,0.55
4,4,2287787.087087088,1.7381381381381382,1.0393462321358955,2.128800803637894,0.37820747610462124,0.9323591250357679,12.218828563032726,-0.01112193551291709,549.0,0.55
5,5,2462277.677677678,1.7313313313313312,1.0369151077823036,2.0258970499989863,0.3838053251645687,0.9397834697827808,10.841334235270951,0.012506272422114516,556.25,0.55
