,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,Z1
0,0,1477250.1501501503,1.92982982982983,1.0633029853576965,3.350733018939904,0.312604862062774,0.8237686805662109,28.67340038234017,-0.006475522228201368,510.0,0.6000000000000001
1,1,1617968.3683683684,1.9088088088088089,1.056781732211441,3.0059672626280887,0.3414038161108033,0.8549791941511579,24.083876759988385,0.009796430088061156,520.5,0.6000000000000001
2,2,1775572.772772773,1.8887887887887889,1.0513990583190627,2.7376445885044496,0.36066340299322747,0.8788103048233541,20.42010262228218,0.020319623760293143,531.0,0.6000000000000001
3,3,1955692.092092092,1.8697697697697697,1.0467567852092725,2.5241395812801724,0.3720996865623991,0.8977860065457447,17.403129200433536,-0.023489091719832697,541.5,0.6000000000000001
4,4,2158326.3263263265,1.852752752752753,1.0428955310356174,2.34595107413863,0.3800729925922237,0.9126271816699308,14.964516893768643,-0.02356589420007314,552.0,0.6000000000000001
5,5,2389104.2042042045,1.8357357357357358,1.0395437410299873,2.1903841716499546,0.3859242911486119,0.9248786345180204,12.903749892736743,0.0006857280012697854,562.5,0.6000000000000001
