,Index,Z1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,P1,T1
0,0,0.5,1.6325325325325326,1.0337427684292533,1.8732123652313635,0.38562665966980975,0.9533307446201797,8.83435251906985,0.0037646517705862267,2484792.592592593,550.0
1,1,0.55,1.7375375375375377,1.0390233107794429,2.114656241287614,0.3790818233511634,0.9333592846844749,12.031601496994341,-0.004667788441000267,2310302.002002002,550.0
2,2,0.6000000000000001,1.855055055055055,1.0435823573325709,2.375615881553008,0.3789065267121519,0.9101568790339137,15.379196620500807,-0.01667194478730737,2118925.225225225,550.0
3,3,0.6500000000000001,1.9716216216216218,1.0467750401481273,2.621586955747625,0.3879968676086185,0.8869391155734326,18.425873503324674,0.0020703039504175237,1910662.2622622624,550.0
4,4,0.7000000000000002,2.0765765765765765,1.0476545546147498,2.8088025788791287,0.4034299097906689,0.8679012497062163,20.685572132842285,-0.025708633794696227,1685513.1131131132,550.0
5,5,0.7500000000000002,2.1584084084084085,1.0458744648614233,2.875532494775259,0.42097384852890385,0.8572964536497543,21.71867563769543,-0.010980540070075748,1443477.7777777778,550.0
6,6,0.8000000000000003,2.211811811811812,1.041654773566274,2.812116976339806,0.4350133958499644,0.8589017133290797,21.12996319033736,0.0059231483846937045,1190184.984984985,550.0
7,7,0.8500000000000003,2.2430180180180184,1.035970988155964,2.6658013314833,0.4424210270866628,0.8712106379482099,19.144990749638673,-0.011528699494897581,914377.2772772773,550.0
8,8,0.9000000000000004,2.257157157157157,1.0306213641063102,2.4980853281288598,0.4455744453442041,0.8870229700081201,16.739045430696446,0.005956206968713582,627312.1121121121,550.0
9,9,0.9500000000000004,2.2618618618618616,1.0261138491223725,2.34186209736275,0.4465208921146524,0.9017176535817417,14.522083979853628,0.053481151957692874,323360.76076076075,550.0
