,Index,Z1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,P1,T1
0,0,0.5,1.6234234234234233,1.0300262501409851,1.737833533462319,0.39486997267588664,0.9623449557453034,7.014707167138488,-0.006369625496940646,2788743.9439439443,560.0
1,1,0.55,1.7259759759759759,1.0355378344065544,1.9729349282674498,0.3859809424982182,0.9437967843759596,10.104672862110164,-0.008193514880559085,2563594.794794795,560.0
2,2,0.6000000000000001,1.838888888888889,1.0403142268803551,2.223436284093274,0.38486252358337764,0.9222452097179539,13.353766050811041,0.006549306340585237,2332816.916916917,560.0
3,3,0.6500000000000001,1.9533283283283285,1.0437203893987503,2.4685930135649787,0.3919618121343211,0.9000707447190165,16.397527649564577,0.0036577234100732417,2090781.5815815816,560.0
4,4,0.7000000000000002,2.058558558558558,1.0450551598253865,2.667573882017993,0.40626126228827225,0.880585135047076,18.838141705014042,-0.016519562922029416,1831860.0600600601,560.0
5,5,0.7500000000000002,2.141166166166166,1.0438920366697373,2.760594292175819,0.4221633827439237,0.8682467019912373,20.188314198185296,-6.957806739053344e-05,1561681.0810810812,560.0
6,6,0.8000000000000003,2.1987487487487494,1.040368444716604,2.7373605154297205,0.43453512633572333,0.8665371542817087,20.081245111014155,0.011108600645733687,1280244.6446446448,560.0
7,7,0.8500000000000003,2.235135135135135,1.0353980790553055,2.630774672973082,0.44161115605059154,0.8748708566847518,18.645868743377868,0.004181883272738443,981922.022022022,560.0
8,8,0.9000000000000004,2.2537537537537538,1.0304652742911953,2.4866538285886786,0.4452637542938696,0.8880588709106083,16.59860127666227,0.04017921468210967,672341.941941942,560.0
9,9,0.9500000000000004,2.261861861861862,1.0256637733018215,2.3423009056584765,0.4462603622358397,0.9019226702544563,14.494027310865798,-0.00024701690469892165,345875.6756756757,560.0
