,Index,Z1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,P1,T1
0,0,0.5,1.6325325325325326,1.0374125555005944,2.0113348512520965,0.37720839970464676,0.944153456336463,10.739292424601565,0.009255235717770023,2231499.7997998,540.0
1,1,0.55,1.7466216216216215,1.0428705037566837,2.2712984062256822,0.3709111375655032,0.9211031328652456,14.267186625950675,0.02204573860718932,2090781.5815815816,540.0
2,2,0.6000000000000001,1.873123123123123,1.0473952934873627,2.5538102938254146,0.3707826497086039,0.8951928657436418,17.81684728101688,-0.018568106880770992,1927548.4484484484,540.0
3,3,0.6500000000000001,1.9899149149149151,1.0502590201667998,2.798815702573811,0.38102823647518047,0.8715809721330221,20.752109509017377,-0.009774552024553098,1753057.8578578578,540.0
4,4,0.7000000000000002,2.0981981981981983,1.0507688614197666,2.977963848578414,0.3992772522061983,0.8524389026378437,22.879305282174396,-0.01839009117014313,1550423.6236236237,540.0
5,5,0.7500000000000002,2.1769769769769773,1.0483608532392223,3.0069524847473836,0.41977870134453577,0.8441614184089263,23.523429119698307,0.026536987414957077,1336531.931931932,540.0
6,6,0.8000000000000003,2.227777777777778,1.042886199247925,2.8937741768422107,0.4360892857952677,0.8505062862798698,22.257663412110116,-0.019339310561683327,1100125.3253253254,540.0
7,7,0.8500000000000003,2.250900900900901,1.0366178682572695,2.7019904790520726,0.44342337295384016,0.8672740256028856,19.679614835954922,-0.023110548439728658,852461.2612612613,540.0
8,8,0.9000000000000004,2.2605605605605605,1.030788198748235,2.51131529652222,0.44582991237353037,0.8858845503045913,16.89510203139833,-0.042575709020499085,587911.011011011,540.0
9,9,0.9500000000000004,2.263688688688689,1.0258307276611103,2.3452151497166884,0.4462493795849268,0.9018056221928635,14.506745205166494,-0.05623133195529575,300845.8458458459,540.0
