,Index,Z1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,P1,T1
0,0,0.5,1.57007007007007,1.0210779562621968,1.902270320544658,0.3813154721960021,0.9533354132660439,9.323682656642895,-0.020237469836515663,1733578.9191734588,620.0
1,1,0.55,1.6879629629629629,1.0250440463931576,2.186495049613285,0.36531918505798733,0.9284161237340582,13.375535454074116,0.02365389084276315,1610589.889668504,620.0
2,2,0.6000000000000001,1.818918918918919,1.0283399818943144,2.5041819856818774,0.355337525872572,0.8998030690090848,17.476612938290955,-0.022014461045603038,1479914.0458194895,620.0
3,3,0.6500000000000001,1.953903903903904,1.0309666674154792,2.8327951285428425,0.3569721572957274,0.8701438694317135,21.284837829818553,-0.02492019018289371,1336426.8447303756,620.0
4,4,0.7000000000000002,2.079879879879879,1.032304177929161,3.114419946394641,0.3730631501722059,0.8447565716274248,24.21000486212973,-0.0051925793437362444,1182690.557849182,620.0
5,5,0.7500000000000002,2.1826576576576575,1.0314430815607623,3.250445778998549,0.4025652636857791,0.8295793257139465,25.660642247610372,-0.021752709302210158,1018705.1851759087,620.0
6,6,0.8000000000000003,2.2434934934934936,1.027812979978872,3.126072507836916,0.4319162423321576,0.8321309731710954,24.826282651695912,-0.03272666608084422,839346.1838145163,620.0
7,7,0.8500000000000003,2.26026026026026,1.023116589411953,2.837877216289536,0.44399834555642537,0.8544486097746404,21.496361419007258,0.04249708748089452,649738.0966610443,620.0
8,8,0.9000000000000004,2.2603603603603606,1.0187947293321986,2.5736905026539167,0.44618939816384534,0.8803538429186775,17.718156588312976,0.06057447303470056,447318.6522674728,620.0
9,9,0.9500000000000004,2.258083083083083,1.0152427033630833,2.3734031194533496,0.4458433783323161,0.899803524692097,14.834358642876778,0.0329510624259414,229525.57918578194,620.0
