,Index,Z1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,P1,T1
0,0,0.5,1.5588588588588588,1.0164990001338714,1.6202537410378102,0.4118112807421183,0.971713900887,5.387138840146802,0.01661883625158769,2181976.42257694,640.0
1,1,0.55,1.6592592592592592,1.0203552182721434,1.8713781630216737,0.3927115094714893,0.9525320903036372,8.805384821835323,0.026290271853650262,1971870.1638393088,640.0
2,2,0.6000000000000001,1.7800300300300298,1.0237873343546475,2.1508103860483287,0.38046456165492243,0.9287751244215469,12.565800608113284,0.017114034880876487,1779699.8052378169,640.0
3,3,0.6500000000000001,1.9068568568568567,1.0265675753892087,2.443738466945874,0.3782293442735141,0.9027849886690728,16.26228415993307,0.02558191138834292,1587529.446636325,640.0
4,4,0.7000000000000002,2.029129129129129,1.0281869796839456,2.7160194260039816,0.3876830153444606,0.8783301523966728,19.411006309513024,0.02044650580852573,1390234.5451387933,640.0
5,5,0.7500000000000002,2.134159159159159,1.0280561636169738,2.8974293397090283,0.40789266329427826,0.8601651602891693,21.49452696991081,-0.00030359276513854144,1185252.829297202,640.0
6,6,0.8000000000000003,2.206256256256256,1.025873530496694,2.9008118301923718,0.42934277955387756,0.8543138232774127,21.86906158750488,0.017711999434745596,970022.0276635308,640.0
7,7,0.8500000000000003,2.2434934934934936,1.0220318893514335,2.7538290374404584,0.4407803725398321,0.8647376566004453,20.11042841334827,-0.02530745168624723,744542.1402377803,640.0
8,8,0.9000000000000004,2.254954954954955,1.0183690904958023,2.550914209577228,0.44509806839286686,0.8830353289769316,17.350444149598932,0.036410472017428835,508813.1670199502,640.0
9,9,0.9500000000000004,2.258083083083083,1.0146826849174895,2.3745430484548145,0.44541573027090026,0.9001010646923561,14.794139439674089,-0.07251436973280756,262835.1080100406,640.0
