,Index,Z1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,P1,T1
0,0,0.5,1.574074074074074,1.0237689626066993,2.069814567914138,0.36307850595867014,0.9413949191565428,11.867275212054256,-0.018471018655266798,1564469.003604146,610.0
1,1,0.55,1.7027777777777777,1.0278978009124262,2.387105864671119,0.3467048360785316,0.9119588753624809,16.38196769573109,0.023620694094228605,1464540.4171313702,610.0
2,2,0.6000000000000001,1.83993993993994,1.0312404408608933,2.733434013894837,0.3376638510395405,0.8799596961163054,20.68730419429198,-0.020433735546961658,1354362.7448665148,610.0
3,3,0.6500000000000001,1.9774274274274275,1.0338602504286354,3.081123258632014,0.34150926065866877,0.8485539464154128,24.469683183853437,-0.00045144113938217205,1231373.71536156,610.0
4,4,0.7000000000000002,2.1085085085085087,1.0350849954020964,3.3799611796935007,0.3615924007833973,0.8223951081615856,27.27254886884158,0.02109113315058698,1093011.0571684856,610.0
5,5,0.7500000000000002,2.2111861861861866,1.0338400869019837,3.4837929210091474,0.3988514575095361,0.8091308321564121,28.344701038966836,0.03479775180647797,944399.3131833319,610.0
6,6,0.8000000000000003,2.263663663663664,1.0292727775108585,3.264298877176446,0.4342478704012807,0.8173247469554004,26.75929270541773,0.0051081583840932275,782976.2119580787,610.0
7,7,0.8500000000000003,2.2703203203203204,1.02344397807048,2.8866193799562994,0.44570397449945703,0.8488774327996249,22.234956473078693,-0.00478717737406415,606179.4820447061,610.0
8,8,0.9000000000000004,2.2639639639639646,1.0186625772577758,2.5846801101114463,0.44646634462855267,0.8795334638305737,17.825508108128176,-0.020051313287006437,416571.3948912341,610.0
9,9,0.9500000000000004,2.258083083083083,1.0155577652979209,2.3746026398395848,0.4460488150341671,0.8994974945482366,14.878176435811719,0.08625814889871845,216714.22194568248,610.0
