,Index,Z1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,P1,T1
0,0,0.6,1.9564564564564564,1.040496967059503,4.925750884357696,0.12605956507575175,0.6435173120873081,51.625578308362485,-0.03365006744970862,631624.2242242242,620.0
1,1,0.65,2.131131131131131,1.0429300954898044,5.716967201522373,0.12656661618079015,0.6091320497531341,53.57853822611224,0.05225352595122337,578620.1201201201,620.0
2,2,0.7000000000000001,2.3,1.0450206385554996,6.6870877264968165,0.13342787552546578,0.5876699223307882,54.49074813633115,0.2487017005423382,514649.6496496497,620.0
3,3,0.7500000000000001,2.45,1.0471866299302517,7.568175444543628,0.17966704699448735,0.58916298334,53.35142864610787,1.33724269860085,443368.26826826826,620.0
4,4,0.8000000000000002,2.514114114114114,1.0364800127743914,6.229642771799657,0.3989830699745336,0.6430694607177387,46.92918562973144,0.009320960400413175,364775.975975976,620.0
5,5,0.8500000000000002,2.2907907907907905,1.0159187793053823,3.0247809393762743,0.45501762646940075,0.8170534117919286,26.430973473618955,-0.012772012358337057,280700.50050050055,620.0
6,6,0.9000000000000002,2.2637637637637638,1.0123510653189138,2.6122581780116145,0.4470372841466388,0.8770435236332056,18.193427064285427,0.017458703100520438,191141.84184184184,620.0
7,7,0.9500000000000004,2.2571571571571574,1.0099292691295754,2.390602377023523,0.4452919563312978,0.8989841047117443,14.96920176658835,-0.09932034209146538,97927.72772772773,620.0
