,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,G1
0,0,634640.1263293199,2.4466666666666668,1.0599664926230838,7.059058601965071,0.25040375211237687,0.6069480504758683,51.458342565879455,0.31984992766752657,560.0,0.7000000000000001
1,1,687646.7959844489,2.396443109776443,1.0525248351637193,5.951552845418326,0.3026982830824391,0.6584416435625087,46.08127159065036,-0.022400138655543005,569.0,0.7000000000000001
2,2,746233.1150769597,2.340533867200534,1.0468172301264551,5.057872514857596,0.3403819505834109,0.7027535978963073,41.24420832374512,0.01199063481526818,578.0,0.7000000000000001
3,3,810399.0836068527,2.2893626960293627,1.0423176820936544,4.4438613889119924,0.3605010355955929,0.7405816556428928,36.92379381631025,-0.01600806205566554,587.0,0.7000000000000001
4,4,888514.1757302007,2.2362962962962967,1.0390027702752311,3.990385668411095,0.36905303888349605,0.7726465319690798,33.15429468600718,-0.0004168995659923612,596.0,0.7000000000000001
5,5,974998.7420096216,2.1870203536870205,1.0361908024622204,3.6372181579436544,0.37393264045046565,0.8005168078822594,29.750985885847363,-0.01473440394395585,605.0,0.7000000000000001
