,Index,P1,P2/P1,T2/T1,D2/D1,M2/M1,Pt2/Pt1,Y,diff,T1,G1
0,0,888514.1757302007,2.18,1.0479276512350253,4.65577601085135,0.2761909270306652,0.721175068499839,40.24434752511025,0.25794458855156555,580.0,0.6
1,1,924781.8970731836,2.1575375375375376,1.0453646247750061,4.412716133183979,0.28580773095080036,0.7415261220716958,37.8802919493017,0.02372435586884457,584.0,0.6
2,2,966629.2678535486,2.1275875875875876,1.0432981583851049,4.1465604006698795,0.29712909923046554,0.7612009443901053,35.578205873223176,0.02167862304574955,588.0,0.6
3,3,1011266.4633526044,2.096956956956957,1.0413566827037368,3.9028471454035585,0.30710227327580336,0.7799227253914948,33.334847116748946,0.026709824606767234,592.0,0.6
4,4,1058693.4835703515,2.0663263263263265,1.0394783081377879,3.68241588803867,0.3155931991737105,0.7977202798724453,31.147324741218164,0.012608857728300737,596.0,0.6
5,5,1111700.1532254803,2.0322922922922926,1.037675965325799,3.470170796087157,0.32307173258863037,0.8152072378242643,28.958948634365377,0.013071651401236032,600.0,0.6
